company,city,owner_first_name,owner_role,linkedin_search,google_business_url,review_count_est,closing_hours,emergency_callout,dm_hook
"Mass Mechanical Inc","Tampa","Frank","Owner","https://www.linkedin.com/search/results/people/?keywords=Mass Mechanical Tampa HVAC","https://www.google.com/search?q=Mass+Mechanical+Tampa","145","5 PM","Voicemail","Mid-size · 5 PM close"
"Modern Air Concepts","Brandon","Dave","Owner","https://www.linkedin.com/search/results/people/?keywords=Modern Air Concepts Brandon FL","https://www.google.com/search?q=Modern+Air+Concepts+Brandon","68","6 PM","Voicemail","Small op · prime free-build candidate"
"Olympic Air Tampa Bay","Tampa","Steve","Owner","https://www.linkedin.com/search/results/people/?keywords=Olympic Air Tampa Bay","https://www.google.com/search?q=Olympic+Air+Tampa+Bay","165","5 PM","Voicemail","Local feel · likely under-served on tech"
"Perfect Air","Largo","Anthony","Owner","https://www.linkedin.com/search/results/people/?keywords=Perfect Air Largo FL HVAC","https://www.google.com/search?q=Perfect+Air+Largo","105","6 PM","Voicemail","Smaller player · easier to land call"
"Premier HVAC Services","Brandon","Mike","Owner","https://www.linkedin.com/search/results/people/?keywords=Premier HVAC Services Brandon","https://www.google.com/search?q=Premier+HVAC+Services+Brandon+FL","135","5:30 PM","Voicemail","Mid-size op"
"Quality Air Conditioning","Tampa","Robert","Owner","https://www.linkedin.com/search/results/people/?keywords=Quality Air Conditioning Tampa","https://www.google.com/search?q=Quality+Air+Conditioning+Tampa+HVAC","210","5 PM","Voicemail","Solid reviews · perfect testimonial fit"
"Red Cap Plumbing & Air","Tampa","Steve","CEO","https://www.linkedin.com/search/results/people/?keywords=Red Cap Plumbing Air Tampa CEO","https://www.google.com/search?q=Red+Cap+Plumbing+Air+Tampa","1850","24/7 advertised","Live dispatchers","Huge op · pitch overflow capture, not full replacement"
"Senica Air","Tampa","John","Owner","https://www.linkedin.com/search/results/people/?keywords=Senica Air Tampa","https://www.google.com/search?q=Senica+Air+Tampa","115","5 PM","Voicemail","Mid-size · 115 reviews"
"Service Minds Cooling","Riverview","Pat","Owner","https://www.linkedin.com/search/results/people/?keywords=Service Minds Cooling Riverview","https://www.google.com/search?q=Service+Minds+Cooling+Riverview","78","6 PM","Voicemail","Small · free build is the wedge"
"Smart-Way Mechanical","Wesley Chapel","Bill","Owner","https://www.linkedin.com/search/results/people/?keywords=Smart-Way Mechanical Wesley Chapel","https://www.google.com/search?q=Smart-Way+Mechanical+Wesley+Chapel","92","5 PM","Voicemail","Suburban op · storm leak"
"Sterling Air","Largo","Jim","Owner","https://www.linkedin.com/search/results/people/?keywords=Sterling Air Largo FL","https://www.google.com/search?q=Sterling+Air+Largo","155","5:30 PM","Voicemail","Mid-tier"
"Strada Services","Tampa","Tony","Owner","https://www.linkedin.com/search/results/people/?keywords=Strada Services Tampa HVAC","https://www.google.com/search?q=Strada+Services+Tampa+HVAC","320","5 PM","Voicemail","Strong reviews + obvious leak"
"Sunshine Air Conditioning","Brandon","Ken","Owner","https://www.linkedin.com/search/results/people/?keywords=Sunshine Air Conditioning Brandon FL","https://www.google.com/search?q=Sunshine+Air+Conditioning+Brandon+FL","98","5 PM","Voicemail","Mid-size · easy land"
"Suntopia HVAC","St. Petersburg","Brad","Owner","https://www.linkedin.com/search/results/people/?keywords=Suntopia HVAC St Petersburg","https://www.google.com/search?q=Suntopia+HVAC+St+Petersburg","140","6 PM","Voicemail","Solid reviews"
"Tampa Bay Coastal Air","Clearwater","Mike","Owner","https://www.linkedin.com/search/results/people/?keywords=Tampa Bay Coastal Air Clearwater","https://www.google.com/search?q=Tampa+Bay+Coastal+Air+Clearwater","82","5 PM","Voicemail","Small · prime free-build target"
"Tampa Heating & Cooling","Tampa","Jeff","Owner","https://www.linkedin.com/search/results/people/?keywords=Tampa Heating Cooling Owner","https://www.google.com/search?q=Tampa+Heating+Cooling","220","5 PM","Voicemail","Mid-size · easy outreach hook"
"The Cooler Company","Tampa","Sam","Owner","https://www.linkedin.com/search/results/people/?keywords=The Cooler Company Tampa HVAC","https://www.google.com/search?q=The+Cooler+Company+Tampa","75","6 PM","Voicemail","Small · ideal free build"
"Thomas Tomson Air Conditioning","Lakeland","Tom","Owner","https://www.linkedin.com/search/results/people/?keywords=Thomas Tomson Air Conditioning Lakeland","https://www.google.com/search?q=Thomas+Tomson+Air+Conditioning+Lakeland","165","5:30 PM","Voicemail","Adjacent metro · room to expand"
"TLC Plumbing & Heating Services","Tampa","Lisa","Owner","https://www.linkedin.com/search/results/people/?keywords=TLC Plumbing Heating Tampa Owner","https://www.google.com/search?q=TLC+Plumbing+Heating+Tampa","95","5 PM","Voicemail","Cross-trade · plumbing + HVAC"
"Top Notch Service Pros","Pinellas Park","Carlos","Owner","https://www.linkedin.com/search/results/people/?keywords=Top Notch Service Pros Pinellas Park","https://www.google.com/search?q=Top+Notch+Service+Pros+Pinellas+Park","112","6 PM","Voicemail","Mid-size · 112 reviews"
"Total Comfort Solutions","Brandon","Jamie","Owner","https://www.linkedin.com/search/results/people/?keywords=Total Comfort Solutions Brandon HVAC","https://www.google.com/search?q=Total+Comfort+Solutions+Brandon+HVAC","88","5 PM","Voicemail","Small · easy land"
"Trane Brandon","Brandon","Manager","Service Manager","","https://www.google.com/search?q=Trane+Brandon+FL","250","5 PM weekdays","After-hours rotation","Franchise · would need corporate approval — skip unless owner-op"
"Tropic Air Conditioning","Tampa","Joe","Owner","https://www.linkedin.com/search/results/people/?keywords=Tropic Air Conditioning Tampa","https://www.google.com/search?q=Tropic+Air+Conditioning+Tampa","135","5:30 PM","Voicemail","Mid-size"
"Universal Air & Heat","St. Petersburg","Ryan","Owner","https://www.linkedin.com/search/results/people/?keywords=Universal Air Heat St Petersburg","https://www.google.com/search?q=Universal+Air+Heat+St+Petersburg","195","5 PM","Voicemail","Solid reviews · obvious gap"
"Veteran Cooling","Tampa","Will","Owner (Veteran)","https://www.linkedin.com/search/results/people/?keywords=Veteran Cooling Tampa","https://www.google.com/search?q=Veteran+Cooling+Tampa","58","6 PM","Voicemail","Vet-owned · positioning angle in pitch"
"Wesco Air Conditioning","Tampa","Ed","Owner","https://www.linkedin.com/search/results/people/?keywords=Wesco Air Conditioning Tampa","https://www.google.com/search?q=Wesco+Air+Conditioning+Tampa","102","5 PM","Voicemail","Mid-tier · perfect free-build size"
"Westcoast Heating & Air","Largo","Phil","Owner","https://www.linkedin.com/search/results/people/?keywords=Westcoast Heating Air Largo","https://www.google.com/search?q=Westcoast+Heating+Air+Largo","148","5:30 PM","Voicemail","Solid reputation"
"AC By J","Tampa","Jake","Owner","https://www.linkedin.com/search/results/people/?keywords=AC By J Tampa","https://www.google.com/search?q=AC+By+J+Tampa","65","5 PM","Voicemail","Small owner-op"
"Affordable A/C Cool Solutions","Brandon","Dan","Owner","https://www.linkedin.com/search/results/people/?keywords=Affordable AC Cool Solutions Brandon","https://www.google.com/search?q=Affordable+AC+Cool+Solutions+Brandon","78","6 PM","Voicemail","Small · easy land"
"Air Mechanical","Tampa","Robert","Owner","https://www.linkedin.com/search/results/people/?keywords=Air Mechanical Tampa HVAC","https://www.google.com/search?q=Air+Mechanical+Tampa+HVAC","94","5 PM","Voicemail","Mid-size"
"Bay HVAC","Clearwater","Steve","Owner","https://www.linkedin.com/search/results/people/?keywords=Bay HVAC Clearwater","https://www.google.com/search?q=Bay+HVAC+Clearwater","112","5:30 PM","Voicemail","Solid reviews"
"Climate Design","Largo","Dan","CEO","https://www.linkedin.com/search/results/people/?keywords=Climate Design Largo FL","https://www.google.com/search?q=Climate+Design+Largo+FL","440","5 PM","After-hours dispatcher","440 reviews · enterprise pitch"
"Coastal AC","St. Petersburg","Bill","Owner","https://www.linkedin.com/search/results/people/?keywords=Coastal AC St Petersburg","https://www.google.com/search?q=Coastal+AC+St+Petersburg","68","6 PM","Voicemail","Small owner-op · ideal free build"
"Comfort Pro AC & Heating","Brandon","Mike","Owner","https://www.linkedin.com/search/results/people/?keywords=Comfort Pro AC Heating Brandon","https://www.google.com/search?q=Comfort+Pro+AC+Heating+Brandon","85","5 PM","Voicemail","Mid-size"
